timestamp,times,bank,pitch,altitude,speed_kts,course,acc_horiz,acc_vert,longitude,latitude,height
2023-09-02 19:22:23.252193927+00:00,2023-09-02T19:22:23.252193927Z,,,47.06,0.0,-1.0,78,9,-76.566126,38.940666,14.3
2023-09-02 19:22:26.916180133+00:00,2023-09-02T19:22:26.916180133Z,,,47.06,0.0,-1.0,78,9,-76.566126,38.940666,14.3
2023-09-02 19:22:28.039920091+00:00,2023-09-02T19:22:28.039920091Z,,,47.06,8.28,305.86,47,256,-76.566005,38.941265,0.0
2023-09-02 19:22:29.984860897+00:00,2023-09-02T19:22:29.984860897Z,,,55.25,8.28,160.66,13,16,-76.566025,38.941229,16.8
2023-09-02 19:22:30.994791030+00:00,2023-09-02T19:22:30.994791030Z,,,26.26,0.0,0.0,8,12,-76.566,38.941294,8.0
2023-09-02 19:22:33.026081085+00:00,2023-09-02T19:22:33.026081085Z,,,21.05,1.67,152.93,4,8,-76.565997,38.941252,6.4
2023-09-02 19:22:34.000841617+00:00,2023-09-02T19:22:34.000841617Z,,,19.11,2.57,152.58,4,6,-76.565996,38.941214,5.8
2023-09-02 19:22:35.000826358+00:00,2023-09-02T19:22:35.000826358Z,,,18.84,2.57,152.58,4,6,-76.565985,38.941206,5.7
2023-09-02 19:22:36.000767469+00:00,2023-09-02T19:22:36.000767469Z,,,16.15,3.01,152.58,4,6,-76.56597,38.941212,4.9
2023-09-02 19:22:37.000702381+00:00,2023-09-02T19:22:37.000702381Z,,,17.27,3.01,152.58,3,6,-76.56595,38.941204,5.3
2023-09-02 19:22:38.000635623+00:00,2023-09-02T19:22:38.000635623Z,,,17.38,2.7,134.3,3,6,-76.565935,38.941192,5.3
2023-09-02 19:22:39.000571727+00:00,2023-09-02T19:22:39.000571727Z,,,17.29,2.7,134.3,3,6,-76.565931,38.941178,5.3
2023-09-02 19:22:40.000514984+00:00,2023-09-02T19:22:40.000514984Z,,,18.71,2.66,133.59,3,6,-76.565908,38.94118,5.7
2023-09-02 19:22:41.000460624+00:00,2023-09-02T19:22:41.000460624Z,,,20.99,2.33,127.27,3,4,-76.565884,38.94117,6.4
2023-09-02 19:22:42.000405788+00:00,2023-09-02T19:22:42.000405788Z,,,30.27,2.45,131.48,3,3,-76.565869,38.941162,9.2
2023-09-02 19:22:43.000350952+00:00,2023-09-02T19:22:43.000350952Z,,,34.38,1.59,133.24,3,3,-76.565862,38.941156,10.5
2023-09-02 19:22:44.000315666+00:00,2023-09-02T19:22:44.000315666Z,,,36.3,1.9,136.05,3,3,-76.565855,38.941149,11.1
2023-09-02 19:22:45.000281810+00:00,2023-09-02T19:22:45.000281810Z,,,39.72,1.9,143.79,3,3,-76.565846,38.941139,12.1
2023-09-02 19:22:46.000249624+00:00,2023-09-02T19:22:46.000249624Z,,,41.08,2.64,140.27,3,3,-76.565837,38.941128,12.5
2023-09-02 19:22:47.000219821+00:00,2023-09-02T19:22:47.000219821Z,,,41.39,2.64,130.43,3,3,-76.565827,38.941119,12.6
2023-09-02 19:22:48.000191688+00:00,2023-09-02T19:22:48.000191688Z,,,40.61,2.76,130.43,3,3,-76.565816,38.941111,12.4
2023-09-02 19:22:49.000164747+00:00,2023-09-02T19:22:49.000164747Z,,,42.08,2.76,114.96,3,3,-76.565801,38.941105,12.8
2023-09-02 19:22:50.000138759+00:00,2023-09-02T19:22:50.000138759Z,,,44.8,2.76,119.18,3,3,-76.565783,38.941097,13.7
2023-09-02 19:22:51.000115394+00:00,2023-09-02T19:22:51.000115394Z,,,46.25,2.6,120.23,3,3,-76.565767,38.941089,14.1
2023-09-02 19:22:52.000091552+00:00,2023-09-02T19:22:52.000091552Z,,,44.89,2.53,130.43,3,3,-76.565757,38.941083,13.7
2023-09-02 19:22:53.000070571+00:00,2023-09-02T19:22:53.000070571Z,,,44.59,1.79,136.41,3,3,-76.56575,38.941075,13.6
2023-09-02 19:22:54.000049352+00:00,2023-09-02T19:22:54.000049352Z,,,40.97,2.49,130.43,3,3,-76.56574,38.941068,12.5
2023-09-02 19:22:55.000030040+00:00,2023-09-02T19:22:55.000030040Z,,,39.71,2.39,147.3,3,3,-76.565732,38.941059,12.1
2023-09-02 19:22:56.000011444+00:00,2023-09-02T19:22:56.000011444Z,,,38.82,2.49,146.25,3,3,-76.565723,38.941051,11.8
2023-09-02 19:22:56.999993801+00:00,2023-09-02T19:22:56.999993801Z,,,42.13,2.64,140.27,3,3,-76.56571,38.94104,12.8
2023-09-02 19:22:57.999977111+00:00,2023-09-02T19:22:57.999977111Z,,,38.65,2.51,128.67,3,3,-76.565697,38.941031,11.8
2023-09-02 19:22:58.999961376+00:00,2023-09-02T19:22:58.999961376Z,,,39.06,3.17,137.11,3,3,-76.565686,38.941024,11.9
2023-09-02 19:22:59.999944448+00:00,2023-09-02T19:22:59.999944448Z,,,40.7,3.17,146.6,3,3,-76.565676,38.941005,12.4
2023-09-02 19:23:00.999931335+00:00,2023-09-02T19:23:00.999931335Z,,,40.2,3.17,155.39,3,3,-76.565667,38.940992,12.3
2023-09-02 19:23:01.999916553+00:00,2023-09-02T19:23:01.999916553Z,,,39.83,2.57,146.6,3,3,-76.565662,38.940985,12.1
2023-09-02 19:23:02.999902725+00:00,2023-09-02T19:23:02.999902725Z,,,46.22,2.51,146.6,3,3,-76.565651,38.940982,14.1
2023-09-02 19:23:03.999890327+00:00,2023-09-02T19:23:03.999890327Z,,,40.02,2.7,113.91,3,3,-76.565635,38.940979,12.2
2023-09-02 19:23:04.999877691+00:00,2023-09-02T19:23:04.999877691Z,,,39.1,2.51,114.26,3,3,-76.565622,38.940976,11.9
2023-09-02 19:23:05.999865531+00:00,2023-09-02T19:23:05.999865531Z,,,37.78,2.7,127.27,3,3,-76.565608,38.940969,11.5
2023-09-02 19:23:06.999854564+00:00,2023-09-02T19:23:06.999854564Z,,,36.99,1.9,113.91,3,4,-76.565592,38.940962,11.3
2023-09-02 19:23:07.999843597+00:00,2023-09-02T19:23:07.999843597Z,,,31.98,2.02,113.91,3,4,-76.565581,38.940959,9.7
2023-09-02 19:23:08.999833106+00:00,2023-09-02T19:23:08.999833106Z,,,25.8,2.14,124.8,3,3,-76.565569,38.940955,7.9
2023-09-02 19:23:09.999822616+00:00,2023-09-02T19:23:09.999822616Z,,,23.42,0.31,113.91,3,4,-76.565563,38.940954,7.1
2023-09-02 19:23:10.999813079+00:00,2023-09-02T19:23:10.999813079Z,,,25.85,2.14,116.37,3,3,-76.565551,38.940952,7.9
2023-09-02 19:23:11.999804019+00:00,2023-09-02T19:23:11.999804019Z,,,24.79,1.77,109.34,3,3,-76.565537,38.940949,7.6
2023-09-02 19:23:12.999795436+00:00,2023-09-02T19:23:12.999795436Z,,,22.28,0.31,113.91,3,3,-76.56553,38.940948,6.8
2023-09-02 19:23:13.999786853+00:00,2023-09-02T19:23:13.999786853Z,,,26.37,3.6,89.3,3,3,-76.565517,38.940949,8.0
2023-09-02 19:23:14.999777793+00:00,2023-09-02T19:23:14.999777793Z,,,26.83,1.94,72.42,3,3,-76.565502,38.940952,8.2
2023-09-02 19:23:15.999769449+00:00,2023-09-02T19:23:15.999769449Z,,,28.85,2.2,67.85,3,3,-76.565492,38.940956,8.8
2023-09-02 19:23:16.999764442+00:00,2023-09-02T19:23:16.999764442Z,,,25.85,2.2,52.03,3,3,-76.565482,38.940964,7.9
2023-09-02 19:23:17.999754905+00:00,2023-09-02T19:23:17.999754905Z,,,27.67,4.06,52.03,3,3,-76.565467,38.940974,8.4
2023-09-02 19:23:18.999747037+00:00,2023-09-02T19:23:18.999747037Z,,,23.18,4.06,65.04,3,3,-76.565453,38.940983,7.1
2023-09-02 19:23:19.999739646+00:00,2023-09-02T19:23:19.999739646Z,,,22.07,2.51,62.23,3,3,-76.565443,38.940988,6.7
2023-09-02 19:23:20.999732494+00:00,2023-09-02T19:23:20.999732494Z,,,18.41,2.31,65.39,3,3,-76.565433,38.94099,5.6
2023-09-02 19:23:21.999725103+00:00,2023-09-02T19:23:21.999725103Z,,,19.1,2.31,75.23,3,3,-76.565422,38.940992,5.8
2023-09-02 19:23:22.999719142+00:00,2023-09-02T19:23:22.999719142Z,,,22.79,2.49,65.39,3,3,-76.565409,38.940994,6.9
2023-09-02 19:23:23.999712467+00:00,2023-09-02T19:23:23.999712467Z,,,26.81,2.95,76.99,3,3,-76.565393,38.940997,8.2
2023-09-02 19:23:24.999706268+00:00,2023-09-02T19:23:24.999706268Z,,,26.7,2.95,91.41,3,3,-76.565376,38.940997,8.1
2023-09-02 19:23:25.999699354+00:00,2023-09-02T19:23:25.999699354Z,,,29.06,3.07,103.71,3,3,-76.565359,38.940993,8.9
2023-09-02 19:23:26.999693393+00:00,2023-09-02T19:23:26.999693393Z,,,33.71,3.07,120.94,3,3,-76.565343,38.940988,10.3
2023-09-02 19:23:27.999687433+00:00,2023-09-02T19:23:27.999687433Z,,,39.74,3.23,117.77,3,3,-76.565328,38.940981,12.1
2023-09-02 19:23:28.999680995+00:00,2023-09-02T19:23:28.999680995Z,,,32.26,3.23,123.75,3,3,-76.565323,38.940973,9.8
2023-09-02 19:23:29.999675273+00:00,2023-09-02T19:23:29.999675273Z,,,29.16,0.0,169.1,3,3,-76.565337,38.940969,8.9
2023-09-02 19:23:30.999669790+00:00,2023-09-02T19:23:30.999669790Z,,,29.43,0.0,169.1,3,3,-76.565345,38.940968,9.0
2023-09-02 19:23:31.999664783+00:00,2023-09-02T19:23:31.999664783Z,,,30.75,0.0,119.53,3,3,-76.565344,38.940968,9.4
2023-09-02 19:23:32.999659061+00:00,2023-09-02T19:23:32.999659061Z,,,30.11,1.3,142.73,3,3,-76.565339,38.940964,9.2
